Dataset,RQ,Model,Parameter,F1 Score,Accuracy,Precision,Recall
1,1,svm,0.001,0.33518225039619653,0.5041716328963052,0.2520858164481526,0.5
1,1,svm,0.01,0.6695847806954083,0.6764004767580453,0.6900179461307988,0.6752491930350972
1,1,svm,0.5,0.6820142350498111,0.6865315852205006,0.6959404324765401,0.6855848790689216
1,1,svm,1.0,0.6890583379479658,0.6930870083432658,0.7018819069791736,0.6921855110020003
1,1,svm,5.0,0.7039256283385378,0.7061978545887961,0.7113876382574844,0.7055160597381342
1,1,svm,10.0,0.7071085977163136,0.7085816448152562,0.7117990618721768,0.7080392457719585
1,1,svm,20.0,0.6974602952893103,0.698450536352801,0.7002614942528735,0.698021799418076
1,1,svm_rbf,0.001,0.33518225039619653,0.5041716328963052,0.2520858164481526,0.5
1,1,svm_rbf,0.01,0.6695847806954083,0.6764004767580453,0.6900179461307988,0.6752491930350972
1,1,svm_rbf,0.5,0.6820142350498111,0.6865315852205006,0.6959404324765401,0.6855848790689216
1,1,svm_rbf,1.0,0.6890583379479658,0.6930870083432658,0.7018819069791736,0.6921855110020003
1,1,svm_rbf,5.0,0.7039256283385378,0.7061978545887961,0.7113876382574844,0.7055160597381342
1,1,svm_rbf,10.0,0.7071085977163136,0.7085816448152562,0.7117990618721768,0.7080392457719585
1,1,svm_rbf,20.0,0.6974602952893103,0.698450536352801,0.7002614942528735,0.698021799418076
1,1,randomforest,10.0,0.6667203181854844,0.666865315852205,0.6674938795739415,0.6670857769594472
1,1,randomforest,25.0,0.7032257328358379,0.7044100119189511,0.7067970956030658,0.7039319649027096
1,1,randomforest,50.0,0.6994471022104494,0.700834326579261,0.7036140089418778,0.7003162506819423
1,1,randomforest,100.0,0.7090824208683666,0.7109654350417163,0.7153411380042092,0.7103436420258229
1,1,randomforest,200.0,0.7013960126507268,0.7038140643623361,0.7092624984447844,0.703112213584288
1,1,randomforest,500.0,0.6968655218174407,0.700238379022646,0.7079298273683337,0.699406994453537
1,1,gradientboosting,10.0,0.6908389914360777,0.6942789034564958,0.701715205897298,0.6934471040189125
1,1,gradientboosting,25.0,0.6904342947767033,0.6942789034564958,0.7027144348426929,0.6933973790689216
1,1,gradientboosting,50.0,0.7011219847826056,0.7044100119189511,0.7121786898839138,0.7035838902527732
1,1,gradientboosting,100.0,0.7072758528172676,0.7097735399284862,0.7157512202775005,0.7090522140389162
1,1,gradientboosting,200.0,0.7043404294861142,0.7061978545887961,0.7103147323212872,0.7055856746681215
1,1,gradientboosting,500.0,0.6979392872654125,0.699642431466031,0.7031373231268847,0.6990646026550282
1,1,extratrees,10.0,0.6709902091582947,0.6710369487485102,0.6713486501552919,0.671183112838698
1,1,extratrees,25.0,0.6846387574032151,0.6865315852205006,0.6900036585790776,0.685932953718858
1,1,extratrees,50.0,0.6947066503991952,0.6960667461263409,0.6986560753706184,0.6955582833242407
1,1,extratrees,100.0,0.6977147170847202,0.699642431466031,0.7036778560960291,0.6990248226950355
1,1,extratrees,200.0,0.6943389027778375,0.6972586412395709,0.7036076858754667,0.6964916916712129
1,1,extratrees,500.0,0.7041035323667675,0.7067938021454112,0.713120415216778,0.7060474063466085
1,2,svm,0.001,0.16261808367071526,0.32262382864792505,0.10754127621597502,0.3333333333333333
1,2,svm,0.01,0.16261808367071526,0.32262382864792505,0.10754127621597502,0.3333333333333333
1,2,svm,0.5,0.33264446065321346,0.3360107095046854,0.3340062715062715,0.3373040736496529
1,2,svm,1.0,0.34501374684418556,0.3453815261044177,0.34529194264391405,0.3451527666440177
1,2,svm,5.0,0.3419303243864647,0.3427041499330656,0.3421312171828416,0.3421171216881238
1,2,svm,10.0,0.3518137104736612,0.3534136546184739,0.351931538560927,0.35240438102032207
1,2,svm,20.0,0.35985149866489285,0.3614457831325301,0.36006826386609775,0.3604420426430199
1,2,svm_rbf,0.001,0.16261808367071526,0.32262382864792505,0.10754127621597502,0.3333333333333333
1,2,svm_rbf,0.01,0.16261808367071526,0.32262382864792505,0.10754127621597502,0.3333333333333333
1,2,svm_rbf,0.5,0.33264446065321346,0.3360107095046854,0.3340062715062715,0.3373040736496529
1,2,svm_rbf,1.0,0.34501374684418556,0.3453815261044177,0.34529194264391405,0.3451527666440177
1,2,svm_rbf,5.0,0.3419303243864647,0.3427041499330656,0.3421312171828416,0.3421171216881238
