Dataset,RQ,Model,Parameter,F1 Score,Accuracy,Precision,Recall
1,1,svm,0.001,0.33518225039619653,0.5041716328963052,0.2520858164481526,0.5
1,1,svm,0.01,0.6727594002919886,0.6764004767580453,0.6830713414841909,0.6755674327150392
1,1,svm,0.5,0.679509788153118,0.6829558998808105,0.6896389520022721,0.6821382296781233
1,1,svm,1.0,0.6812497401511927,0.6841477949940405,0.6896954058120944,0.6833998226950355
1,1,svm,5.0,0.6864763868307454,0.6889153754469607,0.6936845798491316,0.6882274049827242
1,1,svm,10.0,0.6919460191555992,0.6936829558998808,0.6970554975643701,0.6931047122204037
1,1,svm,20.0,0.6890865295534556,0.6907032181168057,0.6937127763505446,0.6901496294780869
1,1,svm_rbf,0.001,0.33518225039619653,0.5041716328963052,0.2520858164481526,0.5
1,1,svm_rbf,0.01,0.6727594002919886,0.6764004767580453,0.6830713414841909,0.6755674327150392
1,1,svm_rbf,0.5,0.679509788153118,0.6829558998808105,0.6896389520022721,0.6821382296781233
1,1,svm_rbf,1.0,0.6812497401511927,0.6841477949940405,0.6896954058120944,0.6833998226950355
1,1,svm_rbf,5.0,0.6864763868307454,0.6889153754469607,0.6936845798491316,0.6882274049827242
1,1,svm_rbf,10.0,0.6919460191555992,0.6936829558998808,0.6970554975643701,0.6931047122204037
1,1,svm_rbf,20.0,0.6890865295534556,0.6907032181168057,0.6937127763505446,0.6901496294780869
1,1,randomforest,10.0,0.6528637234867947,0.6537544696066746,0.6560887301443511,0.6542226427532278
1,1,randomforest,25.0,0.6998519135083672,0.700834326579261,0.7026724137931034,0.7004057555919259
1,1,randomforest,50.0,0.696844770683965,0.6972586412395709,0.6978353421905674,0.6969988861611203
1,1,randomforest,100.0,0.7066316336317136,0.7079856972586412,0.7108836169549093,0.7074681192034915
1,1,randomforest,200.0,0.7089301010793215,0.7103694874851013,0.7135555234239446,0.7098321853973449
1,1,randomforest,500.0,0.7058090271392634,0.7073897497020262,0.7108434171174498,0.7068273777050372
1,1,gradientboosting,10.0,0.6823050013123981,0.6853396901072706,0.6912562272550613,0.6845719108019639
1,1,gradientboosting,25.0,0.6895253421916617,0.6924910607866508,0.6986671024273046,0.6917237793235134
1,1,gradientboosting,50.0,0.6928500221552847,0.6954707985697258,0.7009891249045113,0.6947484769958174
1,1,gradientboosting,100.0,0.695644194495275,0.6978545887961859,0.7024991793412847,0.6971921031096563
1,1,gradientboosting,200.0,0.6949150847188215,0.6966626936829559,0.7001606912624851,0.6960796849427169
1,1,gradientboosting,500.0,0.6982352930702624,0.6990464839094159,0.7004713836572662,0.6986625409165302
1,1,extratrees,10.0,0.6684766028401035,0.6692491060786651,0.6715741830023112,0.6696984679032552
1,1,extratrees,25.0,0.6934164315150531,0.6942789034564958,0.6957409455290255,0.6938846835788326
1,1,extratrees,50.0,0.6978629339892278,0.698450536352801,0.6993889327339898,0.698131194308056
1,1,extratrees,100.0,0.7051295623605633,0.7061978545887961,0.7083457418876828,0.7057447945080924
1,1,extratrees,200.0,0.6995431561886499,0.700834326579261,0.7033875080771717,0.7003361406619386
1,1,extratrees,500.0,0.6997641835404182,0.701430274135876,0.704896543028448,0.7008575422804146
1,2,svm,0.001,0.16261808367071526,0.32262382864792505,0.10754127621597502,0.3333333333333333
1,2,svm,0.01,0.16261808367071526,0.32262382864792505,0.10754127621597502,0.3333333333333333
1,2,svm,0.5,0.3781678366676707,0.3788487282463186,0.3787714136539753,0.37972538014671775
1,2,svm,1.0,0.3683938524684383,0.36813922356091033,0.3697625811670699,0.36831040410950894
1,2,svm,5.0,0.3502894820915173,0.3507362784471218,0.35092733799630355,0.35020475419824076
1,2,svm,10.0,0.3426951832631346,0.3427041499330656,0.3434932903033481,0.3425059954798393
1,2,svm,20.0,0.3539746863329545,0.3534136546184739,0.35489208678174694,0.3534515218307397
1,2,svm_rbf,0.001,0.16261808367071526,0.32262382864792505,0.10754127621597502,0.3333333333333333
1,2,svm_rbf,0.01,0.16261808367071526,0.32262382864792505,0.10754127621597502,0.3333333333333333
1,2,svm_rbf,0.5,0.3781678366676707,0.3788487282463186,0.3787714136539753,0.37972538014671775
1,2,svm_rbf,1.0,0.3683938524684383,0.36813922356091033,0.3697625811670699,0.36831040410950894
1,2,svm_rbf,5.0,0.3502894820915173,0.3507362784471218,0.35092733799630355,0.35020475419824076
1,2,svm_rbf,10.0,0.3426951832631346,0.3427041499330656,0.3434932903033481,0.3425059954798393
1,2,svm_rbf,20.0,0.3539746863329545,0.3534136546184739,0.35489208678174694,0.3534515218307397
1,2,randomforest,10.0,0.3546399219725053,0.357429718875502,0.35673068700075455,0.35692862672414966
1,2,randomforest,25.0,0.36050242867529264,0.3614457831325301,0.3602503258116639,0.36106693810022744
1,2,randomforest,50.0,0.3527939326316368,0.3534136546184739,0.3527549017025264,0.353195961375357
1,2,randomforest,100.0,0.37493461276234413,0.3748326639892905,0.37489371672115723,0.3749843057479986
1,2,randomforest,200.0,0.3514265514265514,0.35207496653279785,0.3513125873633612,0.3519878200716931
1,2,randomforest,500.0,0.343556149442145,0.34404283801874164,0.34331751842223773,0.3444279077982661
1,2,gradientboosting,10.0,0.37349728199177407,0.37349397590361444,0.37729862729862734,0.3736096524561523
1,2,gradientboosting,25.0,0.38422500317821534,0.38420348058902276,0.38558132504102965,0.3844190989163991
1,2,gradientboosting,50.0,0.38592769193200277,0.3855421686746988,0.3885753885753886,0.385416117543458
1,2,gradientboosting,100.0,0.36169157899914967,0.3614457831325301,0.3628968249829474,0.3615642262393888
1,2,gradientboosting,200.0,0.3858506961531682,0.3855421686746988,0.3860705878488135,0.3858994000013703
1,2,gradientboosting,500.0,0.3640538889199616,0.36412315930388217,0.3662306105453876,0.3650193499941719
1,2,extratrees,10.0,0.33699472520921664,0.34002677376171353,0.3382938942007048,0.3393840686110659
1,2,extratrees,25.0,0.3282360812971891,0.33065595716198126,0.3280391313864117,0.3297855300088039
1,2,extratrees,50.0,0.35042856874035605,0.3507362784471218,0.35064935064935066,0.3506852701018323
1,2,extratrees,100.0,0.35854960224875726,0.35876840696117807,0.35867549069635624,0.35886177816950454
1,2,extratrees,200.0,0.35332375219025797,0.3534136546184739,0.35330988848791556,0.35371261539476384
1,2,extratrees,500.0,0.3419691444148539,0.3427041499330656,0.3419577277699641,0.3422615012417398
1,5,svm,0.001,0.18218565035368847,0.37604290822407627,0.1253476360746921,0.3333333333333333
1,5,svm,0.01,0.18218565035368847,0.37604290822407627,0.1253476360746921,0.3333333333333333
1,5,svm,0.5,0.3587289597260515,0.42073897497020263,0.4501021007051034,0.3982375277425556
1,5,svm,1.0,0.39422582933517525,0.43563766388557806,0.45175966635579295,0.41635219131053386
1,5,svm,5.0,0.4275099645916698,0.4439809296781883,0.4515748934775483,0.4323258215364381
1,5,svm,10.0,0.4260303094849281,0.43861740166865315,0.43985445247287475,0.42931850687533557
1,5,svm,20.0,0.42508893693408384,0.43504171632896305,0.43442377902711676,0.42707036262275727
1,5,svm_rbf,0.001,0.18218565035368847,0.37604290822407627,0.1253476360746921,0.3333333333333333
1,5,svm_rbf,0.01,0.18218565035368847,0.37604290822407627,0.1253476360746921,0.3333333333333333
1,5,svm_rbf,0.5,0.3587289597260515,0.42073897497020263,0.4501021007051034,0.3982375277425556
1,5,svm_rbf,1.0,0.39422582933517525,0.43563766388557806,0.45175966635579295,0.41635219131053386
1,5,svm_rbf,5.0,0.4275099645916698,0.4439809296781883,0.4515748934775483,0.4323258215364381
1,5,svm_rbf,10.0,0.4260303094849281,0.43861740166865315,0.43985445247287475,0.42931850687533557
1,5,svm_rbf,20.0,0.42508893693408384,0.43504171632896305,0.43442377902711676,0.42707036262275727
1,5,randomforest,10.0,0.41714112711992385,0.4308700834326579,0.425828296549615,0.4198701918041568
1,5,randomforest,25.0,0.41058712477765175,0.4272943980929678,0.422022590151688,0.4154517803894302
1,5,randomforest,50.0,0.4224382874920596,0.4374255065554231,0.4347760908225928,0.42652287062149447
1,5,randomforest,100.0,0.4368741608398013,0.45292014302741357,0.45937523895633176,0.4405692319749995
1,5,randomforest,200.0,0.45036286926686864,0.4696066746126341,0.4764346265061459,0.4565671076108592
1,5,randomforest,500.0,0.44425290539497003,0.46781883194278906,0.478287058072349,0.45292901669166025
1,5,gradientboosting,10.0,0.2821287240333112,0.398688915375447,0.45575186250949734,0.364872422192757
1,5,gradientboosting,25.0,0.3526900036562865,0.4195470798569726,0.44714159354734434,0.394616275843356
1,5,gradientboosting,50.0,0.38238814859917386,0.4261025029797378,0.44009124454420095,0.4060703621171622
1,5,gradientboosting,100.0,0.4096736463168272,0.433849821215733,0.44485634899232407,0.4199712046968755
1,5,gradientboosting,200.0,0.43903812066877385,0.45589988081048866,0.4563645332837815,0.44403087018841164
1,5,gradientboosting,500.0,0.4286326100478293,0.4374255065554231,0.4371995454401743,0.42950024710287327
1,5,extratrees,10.0,0.4054307994264626,0.41775923718712754,0.413482546276152,0.40775582914633973
1,5,extratrees,25.0,0.4310514756526567,0.4499404052443385,0.44527436882067173,0.43662292678153664
1,5,extratrees,50.0,0.42881083321020647,0.4475566150178784,0.4512087327916811,0.43428356698949844
1,5,extratrees,100.0,0.44825120527824597,0.464839094159714,0.47311425383161393,0.4520932312508174
1,5,extratrees,200.0,0.4500633446041235,0.4731823599523242,0.47949906210627713,0.45739826357554136
1,5,extratrees,500.0,0.45907576150364804,0.48092967818831944,0.4904253165052212,0.4658716387557112
2,1,svm,0.001,0.33518225039619653,0.5041716328963052,0.2520858164481526,0.5
2,1,svm,0.01,0.3651153991676126,0.5083432657926102,0.53893712181005,0.5044155755591926
